0.062298,-0.94835,0.10495,0.652,-0.1465,0.11812,-0.72827,0.10563,0.077704,0.41673,0.86705,0.037245,0.32913,-0.19444,-0.45703,0.46981,0.915,1.4771,0.61388,0.82997,0.068006,0.52731,0.12176,0.54323,-0.1018,0.59141,-0.19168,-0.05699,0.069012,-0.37239,0.098177,0.44775,0.72542,-0.78575,-0.10446,0.94482
-0.46499,0.94275,-0.78333,0.88402,-0.98712,1.1543,0.59063,0.16463,-0.11213,-0.72478,0.39073,-0.82911,0.45334,0.51718,-0.71028,2.1855,-0.34658,-0.59155,1.2528,-0.61761,0.78556,0.29244,1.1357,0.28347,0.74751,-1.0107,-0.47154,-2.1665,1.4192,1.3989,-0.17869,-0.64498,0.59837,1.6187,-1.9516,-0.43904
-0.66722,0.8838,-0.96127,-0.25936,1.1674,2.9246,0.022407,0.95795,-0.35082,-0.23229,-0.45469,-1.8096,0.7547,0.032336,-0.59086,1.1212,-0.22017,-0.1606,-2.3011,0.14642,-3.2111,0.052957,-0.096101,-0.9877,0.09129,0.78769,0.20609,-0.33186,-2.1169,-4.3071,-0.21596,0.92728,-0.53572,0.84576,-2.2345,0.32949
-0.064685,0.1493,-0.50905,0.70607,0.04183,-0.096943,-0.34712,-0.76032,-0.26645,0.9958,0.17221,-0.089512,-0.45099,0.25864,-0.66279,-0.6684,0.68718,-0.39046,-0.57333,0.36894,-0.18069,-0.45709,-1.0875,0.82562,0.83846,1.2661,0.26836,-0.019301,-0.056694,0.65757,-0.6395,0.4897,-0.5138,-0.39647,-0.046224,0.93177
-0.51066,-0.30309,-0.86015,-0.59188,-1.409,-0.47414,0.76213,0.99543,1.0615,0.17801,-0.42322,0.52745,0.011889,-0.27473,0.12982,-2.6151,-0.95331,0.17534,1.4597,0.38417,1.0287,1.0255,0.72108,-0.80136,-0.45323,0.018315,0.13319,1.0377,4.2365,0.93119,-0.76667,0.98245,0.88296,0.85074,7.0336,0.22399
-0.53039,-0.57557,-0.79521,0.96397,1.6133,1.0637,-8.0264e-05,0.60798,-2.4559,-0.75639,1.0336,3.1141,0.80483,-0.46505,0.36034,-0.25666,-0.37877,0.30477,0.67285,0.91246,-4.4221,0.074786,-0.27594,0.92057,0.19044,0.0014836,-0.1803,1.4325,-0.50235,-1.7494,-0.59365,-0.54793,0.86014,-0.24227,-1.8436,-0.44495
0.96722,-0.91481,-0.41704,-0.50376,0.12386,0.006974,0.12166,-0.20652,0.15235,0.45235,-0.45438,0.10785,0.59934,-0.79237,0.43035,0.16035,0.67377,-0.22486,0.037656,0.36526,0.26048,-1.1712,0.44003,-0.50593,-0.31388,-1.0614,-0.11933,0.38142,0.0030382,-0.13255,-0.79444,0.90881,0.70376,0.21287,0.16542,-0.6503
0.34653,-0.65397,-0.11619,0.79063,-0.94896,-4.3245,0.0020896,0.79473,2.6392,0.79381,-1.4755,1.3073,0.9121,0.48091,0.21891,0.54875,0.88025,-0.25657,-1.0484,0.64577,0.93505,-0.42386,0.81144,0.61654,-0.027517,0.20512,2.333,0.097599,-3.3302,-0.19466,0.71005,-0.01627,-0.38837,1.698,-1.9397,0.77634
0.93656,0.18451,-0.6976,-0.63722,1.1738,3.1812,0.79337,0.18755,-0.53529,0.7989,0.7616,-4.0655,-0.24984,-0.3694,-0.4694,-0.67507,0.39924,-0.16494,-2.2259,0.075273,-2.166,0.13432,-0.7757,-0.43302,0.35695,0.10147,-1.7457,0.6518,-3.6522,-3.4953,-0.16475,-0.67139,0.92739,-0.3309,-0.34939,0.17636
0.48025,-0.91236,0.28925,0.2172,-0.65022,1.1673,-0.58717,0.9475,0.57676,0.56826,-0.096543,1.5395,0.96509,-0.30043,0.71882,1.6908,0.93316,-0.069771,-0.18256,-0.60514,-4.9743,-0.54257,0.64517,-0.55784,0.20122,-0.11376,0.97709,-0.80118,-0.23555,-1.0613,0.56405,-0.53487,0.07131,0.28836,-0.98263,-0.91735
